time,open,high,low,close,volume
2025-01-01T22:04:00.000000000Z,1.0355,1.0355,1.0355,1.0355,1
2025-01-01T22:05:00.000000000Z,1.03562,1.03562,1.03532,1.03532,10
2025-01-01T22:06:00.000000000Z,1.03532,1.03536,1.03528,1.03536,18
2025-01-01T22:07:00.000000000Z,1.0353,1.03536,1.03512,1.03528,33
2025-01-01T22:08:00.000000000Z,1.03522,1.0353,1.03522,1.03523,9
2025-01-01T22:09:00.000000000Z,1.03524,1.03524,1.03524,1.03524,1
2025-01-01T22:10:00.000000000Z,1.03522,1.03522,1.0352,1.0352,4
2025-01-01T22:11:00.000000000Z,1.03524,1.03524,1.03522,1.03522,2
2025-01-01T22:12:00.000000000Z,1.03519,1.03532,1.03519,1.03532,5
2025-01-01T22:13:00.000000000Z,1.03534,1.03534,1.03526,1.03526,2
2025-01-01T22:14:00.000000000Z,1.03526,1.03526,1.03526,1.03526,1
2025-01-01T22:15:00.000000000Z,1.03526,1.0353,1.03526,1.0353,4
2025-01-01T22:16:00.000000000Z,1.03538,1.03538,1.0353,1.03534,4
2025-01-01T22:17:00.000000000Z,1.03538,1.03564,1.03538,1.03564,8
2025-01-01T22:18:00.000000000Z,1.03558,1.03559,1.03544,1.03555,6
2025-01-01T22:19:00.000000000Z,1.03552,1.03562,1.03552,1.03561,6
2025-01-01T22:20:00.000000000Z,1.03557,1.03557,1.03557,1.03557,1
2025-01-01T22:21:00.000000000Z,1.03544,1.03546,1.03543,1.03543,4
2025-01-01T22:22:00.000000000Z,1.0355,1.0355,1.0355,1.0355,1
2025-01-01T22:23:00.000000000Z,1.03554,1.03559,1.03554,1.03559,2
2025-01-01T22:24:00.000000000Z,1.03561,1.03561,1.03554,1.03554,4
2025-01-01T22:25:00.000000000Z,1.03562,1.03563,1.03556,1.0356,17
2025-01-01T22:26:00.000000000Z,1.03558,1.03563,1.03556,1.03556,10
2025-01-01T22:27:00.000000000Z,1.03558,1.0356,1.03556,1.0356,11
2025-01-01T22:28:00.000000000Z,1.03556,1.0356,1.03556,1.0356,8
2025-01-01T22:29:00.000000000Z,1.03556,1.0356,1.03556,1.03559,10
2025-01-01T22:30:00.000000000Z,1.03558,1.03566,1.03558,1.03564,18
2025-01-01T22:31:00.000000000Z,1.03564,1.03566,1.03564,1.03566,6
2025-01-01T22:32:00.000000000Z,1.03571,1.03572,1.03571,1.03572,2
2025-01-01T22:34:00.000000000Z,1.0358,1.0358,1.03578,1.03579,3
2025-01-01T22:35:00.000000000Z,1.0358,1.0358,1.03565,1.03566,9
2025-01-01T22:36:00.000000000Z,1.03564,1.03568,1.03563,1.03568,56
2025-01-01T22:37:00.000000000Z,1.03568,1.03586,1.03566,1.03586,21
2025-01-01T22:38:00.000000000Z,1.03569,1.03569,1.03567,1.03567,2
2025-01-01T22:39:00.000000000Z,1.03568,1.03577,1.03568,1.03574,79
2025-01-01T22:40:00.000000000Z,1.03572,1.03576,1.0357,1.03572,166
2025-01-01T22:41:00.000000000Z,1.03572,1.03574,1.0357,1.03572,27
2025-01-01T22:42:00.000000000Z,1.0357,1.03575,1.0357,1.03574,42
2025-01-01T22:43:00.000000000Z,1.03572,1.03585,1.03572,1.03574,40
2025-01-01T22:44:00.000000000Z,1.03574,1.03576,1.03573,1.03575,142
2025-01-01T22:45:00.000000000Z,1.03574,1.03576,1.03572,1.03575,64
2025-01-01T22:46:00.000000000Z,1.03573,1.03576,1.03572,1.03575,77
2025-01-01T22:47:00.000000000Z,1.03574,1.03577,1.03571,1.03574,80
2025-01-01T22:48:00.000000000Z,1.03572,1.03575,1.03572,1.03573,39
2025-01-01T22:49:00.000000000Z,1.03574,1.03576,1.03573,1.03574,20
2025-01-01T22:50:00.000000000Z,1.03572,1.03574,1.0357,1.03573,5
2025-01-01T22:51:00.000000000Z,1.03572,1.03575,1.03571,1.03574,22
2025-01-01T22:52:00.000000000Z,1.03573,1.03574,1.03571,1.03572,26
2025-01-01T22:53:00.000000000Z,1.03572,1.03574,1.0357,1.03573,21
2025-01-01T22:54:00.000000000Z,1.03574,1.03576,1.03574,1.03576,22
2025-01-01T22:55:00.000000000Z,1.03575,1.03579,1.03575,1.03578,30
2025-01-01T22:56:00.000000000Z,1.03578,1.03584,1.03575,1.03578,43
2025-01-01T22:57:00.000000000Z,1.03578,1.03582,1.03574,1.03574,38
2025-01-01T22:58:00.000000000Z,1.03574,1.03584,1.03574,1.03584,41
2025-01-01T22:59:00.000000000Z,1.03583,1.03586,1.03567,1.03568,40
2025-01-01T23:00:00.000000000Z,1.03568,1.03582,1.03534,1.03564,115
